,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT
0-5,0.0,0.0,0.489,0.108,0.0,0.0,0.403,0.0,0.0,0.0
1-6,0.0,0.0,0.232,0.368,0.0,0.0,0.399,0.0,0.0,0.0
2-7,0.0,0.0,0.226,0.359,0.0,0.0,0.416,0.0,0.0,0.0
3-8,0.0,0.0,0.344,0.0,0.41,0.0,0.246,0.0,0.0,0.0
4-9,0.0,0.088,0.0,0.759,0.154,0.0,0.0,0.0,0.0,0.0
5-10,0.0,0.0,0.0,0.778,0.222,0.0,0.0,0.0,0.0,0.0
6-11,0.0,0.0,0.0,0.732,0.268,0.0,0.0,0.0,0.0,0.0
7-12,0.0,0.0,0.0,0.127,0.191,0.0,0.291,0.23,0.16,0.0
8-13,0.0,0.0,0.0,0.739,0.006,0.0,0.0,0.138,0.118,0.0
9-14,0.0,0.0,0.0,0.739,0.0,0.0,0.0,0.047,0.214,0.0
10-15,0.418,0.0,0.0,0.0,0.387,0.0,0.0,0.195,0.0,0.0
11-16,0.0,0.0,0.0,0.0,0.353,0.0,0.0,0.214,0.0,0.433
12-17,0.106,0.0,0.001,0.088,0.393,0.0,0.0,0.252,0.0,0.16
13-18,0.0,0.029,0.0,0.0,0.702,0.0,0.0,0.269,0.0,0.0
14-19,0.174,0.028,0.029,0.006,0.212,0.0,0.0,0.467,0.077,0.006
15-20,0.0,0.155,0.18,0.038,0.06,0.04,0.231,0.25,0.045,0.001
16-21,0.0,0.163,0.524,0.0,0.0,0.0,0.118,0.194,0.0,0.0
17-22,0.0,0.178,0.0,0.0,0.0,0.0,0.0,0.142,0.0,0.68
18-23,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.875
19-24,0.0,0.0,0.067,0.0,0.0,0.092,0.0,0.0,0.0,0.841
20-25,0.616,0.0,0.0,0.0,0.0,0.0,0.087,0.0,0.297,0.0
21-26,0.0,0.176,0.157,0.254,0.0,0.0,0.0,0.0,0.414,0.0
22-27,0.0,0.062,0.299,0.422,0.0,0.0,0.0,0.0,0.217,0.0
