,ADAUSDT,AVAXUSDT,BNBUSDT,BTCUSDT,DOGEUSDT,DOTUSDT,ETHUSDT,LUNAUSDT,SOLUSDT,XRPUSDT,total,total_sum
6,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.026,0.026
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.095,-0.069
8,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.365,0.296
9,0.0,0.0,0.0,0.0,0.001,0.0,0.0,-0.0,0.0,0.0,0.278,0.5740000000000001
10,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.172,0.746
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.137,0.883
12,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.201,0.6819999999999999
13,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.001,-0.0,-0.0,0.121,0.8029999999999999
14,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.052,0.7509999999999999
15,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.0,0.462,1.2129999999999999
16,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,1.5739999999999998
17,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.009,1.565
18,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.233,1.798
19,0.0,-0.0,0.0,-0.0,-0.001,0.0,0.0,0.001,-0.0,-0.0,-0.039,1.7590000000000001
20,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.001,0.0,-0.0,0.085,1.844
21,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.015,1.859
22,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.161,1.698
23,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.004,1.702
24,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.139,1.563
