datetimeindex,quarter,month,weeknum,weekday,hour,minute,open,high,low,close,volume,log_close,log_volume,diff_close,log_close_close_shift,sin_close,y
2021-09-01 00:15:00,3,9,35,2,0,15,2.752,2.765,2.747,2.765,1998235.6,1.0170406349742982,14.507775149156783,0.013000000000000345,1.0047238372093024,0.36775404023053776,1.0
2021-09-01 00:30:00,3,9,35,2,0,30,2.765,2.765,2.74,2.742,1425152.8,1.0086875811401226,14.169789594006545,-0.02300000000000013,0.9916817359855334,0.38904311912123185,1.0
2021-09-01 00:45:00,3,9,35,2,0,45,2.741,2.748,2.732,2.734,2248955.3,1.0057657383017578,14.62597635524371,-0.008000000000000007,0.9970824215900802,0.3964003475633013,1.0
2021-09-01 01:00:00,3,9,35,2,1,0,2.734,2.748,2.725,2.727,2913564.5,1.0032021038634513,14.884887803641822,-0.007000000000000117,0.9974396488661301,0.4028171275969872,1.0
2021-09-01 01:15:00,3,9,35,2,1,15,2.726,2.746,2.72,2.743,1576457.5,1.0090522119554661,14.2706907991516,0.016000000000000014,1.0058672533920059,0.3881217052074792,1.0
2021-09-01 01:30:00,3,9,35,2,1,30,2.744,2.766,2.734,2.759,1708528.2,1.014868295235149,14.351142856108027,0.016000000000000014,1.005833029529712,0.37332692578108195,1.0
2021-09-01 01:45:00,3,9,35,2,1,45,2.759,2.765,2.747,2.748,1519288.4,1.010873374360103,14.2337526253076,-0.010999999999999677,0.9960130482058718,0.38350883225546384,1.0
2021-09-01 02:00:00,3,9,35,2,2,0,2.748,2.757,2.745,2.751,1203978.5,1.0119644819424374,14.001142047548605,0.0029999999999996696,1.0010917030567685,0.3807364989972696,1.0
2021-09-01 02:15:00,3,9,35,2,2,15,2.751,2.761,2.743,2.76,779126.5,1.0152306797290584,13.565928699345942,0.008999999999999897,1.0032715376226826,0.3723990394250557,1.0
2021-09-01 02:30:00,3,9,35,2,2,30,2.759,2.765,2.755,2.763,901272.6,1.0163170459412794,13.711563043549832,0.0030000000000001137,1.001086956521739,0.36961314967633235,1.0
2021-09-01 02:45:00,3,9,35,2,2,45,2.763,2.767,2.755,2.76,777408.0,1.0152306797290584,13.563720588059942,-0.0030000000000001137,0.998914223669924,0.3723990394250557,1.0
2021-09-01 03:00:00,3,9,35,2,3,0,2.76,2.762,2.751,2.756,644238.9,1.013780353151412,13.375824899029746,-0.0040000000000000036,0.9985507246376811,0.3761083411781156,1.0
2021-09-01 03:15:00,3,9,35,2,3,15,2.756,2.76,2.744,2.747,641342.5,1.0105094071131369,13.371318914576827,-0.008999999999999897,0.9967343976777939,0.38443217755569425,1.0
2021-09-01 03:30:00,3,9,35,2,3,30,2.747,2.751,2.74,2.748,579147.1,1.010873374360103,13.269311783009615,0.001000000000000334,1.0003640334910813,0.38350883225546384,1.0
2021-09-01 03:45:00,3,9,35,2,3,45,2.748,2.763,2.748,2.762,973374.6,1.0159550549871004,13.78852428193789,0.01399999999999979,1.00509461426492,0.3705421504442363,1.0
2021-09-01 04:00:00,3,9,35,2,4,0,2.761,2.775,2.757,2.775,957903.3,1.0206507471983979,13.772502112401066,0.0129999999999999,1.0047067342505431,0.3584365767005302,1.0
2021-09-01 04:15:00,3,9,35,2,4,15,2.774,2.775,2.757,2.762,1413545.2,1.0159550549871004,14.161611432965678,-0.0129999999999999,0.9953153153153154,0.3705421504442363,1.0
2021-09-01 04:30:00,3,9,35,2,4,30,2.761,2.768,2.753,2.766,841720.9,1.0174022332425665,13.643203765591165,0.0040000000000000036,1.001448225923244,0.3668239334117568,1.0
2021-09-01 04:45:00,3,9,35,2,4,45,2.766,2.773,2.765,2.773,875040.9,1.019929766633641,13.682025907104482,0.007000000000000117,1.002530730296457,0.3603029667430897,1.0
2021-09-01 05:00:00,3,9,35,2,5,0,2.773,2.778,2.766,2.774,1513813.4,1.0202903218926398,14.230142455713917,0.0009999999999998899,1.000360620266859,0.3593699514067707,1.0
2021-09-01 05:15:00,3,9,35,2,5,15,2.774,2.775,2.757,2.761,1610868.1,1.0155929329480173,14.29228378419516,-0.0129999999999999,0.9953136265320837,0.37147078067002065,1.0
2021-09-01 05:30:00,3,9,35,2,5,30,2.761,2.782,2.759,2.78,2071234.6,1.0224509277025455,14.543655412571551,0.018999999999999684,1.006881564650489,0.3537643453011431,1.0
2021-09-01 05:45:00,3,9,35,2,5,45,2.781,2.797,2.775,2.788,2259182.9,1.0253244928982774,14.630513757201424,0.008000000000000007,1.0028776978417266,0.3462704280284658,1.0
2021-09-01 06:00:00,3,9,35,2,6,0,2.788,2.803,2.785,2.799,2437003.0,1.0292622105333165,14.706279563628334,0.01100000000000012,1.0039454806312769,0.3359302048454755,1.0
2021-09-01 06:15:00,3,9,35,2,6,15,2.799,2.799,2.778,2.782,1285566.5,1.023170093501251,14.066710035194117,-0.016999999999999904,0.993926402286531,0.3518929698475592,1.0
2021-09-01 06:30:00,3,9,35,2,6,30,2.782,2.785,2.772,2.782,914865.2,1.023170093501251,13.726532011000275,0.0,1.0,0.3518929698475592,1.0
2021-09-01 06:45:00,3,9,35,2,6,45,2.782,2.79,2.772,2.776,1795138.3,1.021011042644558,14.400592624290281,-0.006000000000000227,0.9978432782171099,0.35750284355774287,1.0
2021-09-01 07:00:00,3,9,35,2,7,0,2.775,2.798,2.775,2.797,2092178.7,1.0285474142198228,14.55371652116891,0.02100000000000035,1.0075648414985592,0.337813305492367,1.0
2021-09-01 07:15:00,3,9,35,2,7,15,2.798,2.798,2.782,2.783,1376310.3,1.0235294825437538,14.134916780773088,-0.014000000000000234,0.9949946371111905,0.3509567538134246,1.0
2021-09-01 07:30:00,3,9,35,2,7,30,2.782,2.787,2.777,2.781,1014928.3,1.022810575251828,13.830328527568787,-0.0019999999999997797,0.9992813510600073,0.35282883398875325,1.0
2021-09-01 07:45:00,3,9,35,2,7,45,2.781,2.783,2.773,2.778,927552.7,1.021731244332152,13.740304891256574,-0.0030000000000001137,0.9989212513484358,0.35563430569781707,1.0
2021-09-01 08:00:00,3,9,35,2,8,0,2.779,2.787,2.778,2.784,811184.2,1.0238887424721732,13.606250434311816,0.005999999999999783,1.0021598272138228,0.35002018682256547,1.0
2021-09-01 08:15:00,3,9,35,2,8,15,2.785,2.793,2.777,2.778,1024224.3,1.021731244332152,13.839446103563931,-0.005999999999999783,0.997844827586207,0.35563430569781707,1.0
2021-09-01 08:30:00,3,9,35,2,8,30,2.778,2.782,2.774,2.775,1176007.3,1.0206507471983979,13.977635614904436,-0.0030000000000001137,0.9989200863930885,0.3584365767005302,1.0
2021-09-01 08:45:00,3,9,35,2,8,45,2.774,2.782,2.771,2.778,1360710.3,1.021731244332152,14.123517400783577,0.0030000000000001137,1.001081081081081,0.35563430569781707,1.0
2021-09-01 09:00:00,3,9,35,2,9,0,2.779,2.785,2.776,2.776,971019.3,1.021011042644558,13.786101623491994,-0.002000000000000224,0.9992800575953923,0.35750284355774287,1.0
2021-09-01 09:15:00,3,9,35,2,9,15,2.777,2.788,2.774,2.787,1579637.1,1.0249657484998111,14.27270569507754,0.01100000000000012,1.0039625360230549,0.34720838947705857,1.0
2021-09-01 09:30:00,3,9,35,2,9,30,2.788,2.825,2.787,2.822,5555067.7,1.0374458534306223,15.530221168200326,0.03500000000000014,1.0125583064226769,0.31417986688862704,1.0
2021-09-01 09:45:00,3,9,35,2,9,45,2.821,2.849,2.82,2.846,8212133.9,1.0459144996676606,15.921123362394752,0.02400000000000002,1.0085046066619419,0.29130685125533545,1.0
2021-09-01 10:00:00,3,9,35,2,10,0,2.847,2.853,2.822,2.836,6952099.7,1.042394608669881,15.754554287021309,-0.010000000000000231,0.9964862965565705,0.30085842325949447,1.0
2021-09-01 10:15:00,3,9,35,2,10,15,2.836,2.854,2.835,2.846,4003543.0,1.0459144996676606,15.20269027703912,0.010000000000000231,1.0035260930888577,0.29130685125533545,1.0
2021-09-01 10:30:00,3,9,35,2,10,30,2.847,2.847,2.825,2.841,2510250.3,1.044156102872051,14.735893027251684,-0.004999999999999893,0.9982431482782853,0.2960863383289333,1.0
2021-09-01 10:45:00,3,9,35,2,10,45,2.842,2.845,2.813,2.816,2455183.2,1.035317438295796,14.713711939644506,-0.025000000000000355,0.9912002815909889,0.3198703583522711,1.0
2021-09-01 11:00:00,3,9,35,2,11,0,2.817,2.829,2.816,2.819,1724439.9,1.0363822121319755,14.360412860070376,0.0030000000000001137,1.001065340909091,0.3170265392388057,1.0
2021-09-01 11:15:00,3,9,35,2,11,15,2.82,2.835,2.819,2.829,1489036.0,1.0399232923194301,14.213639488674081,0.010000000000000231,1.003547357218872,0.30752667944694156,1.0
2021-09-01 11:30:00,3,9,35,2,11,30,2.828,2.83,2.808,2.81,1801104.8,1.0331844833456545,14.40391081235963,-0.019000000000000128,0.9932838458819371,0.32554933451756,1.0
