datetimeindex,quarter,month,weeknum,weekday,hour,minute,open,high,low,close,volume,log_close,log_volume,diff_close,log_close_close_shift,sin_close,y
2021-09-01 00:15:00,3,9,35,2,0,15,462.0,464.7,461.1,463.3,13561.519,6.138374792422603,9.51499157586951,1.3000000000000114,1.0028138528138528,-0.9963967680855031,1.0
2021-09-01 00:30:00,3,9,35,2,0,30,463.4,463.4,458.7,459.7,14230.606,6.130574102812182,9.56315027626287,-3.6000000000000227,0.9922296568098424,0.8559950868559968,1.0
2021-09-01 00:45:00,3,9,35,2,0,45,459.8,459.8,456.9,457.2,19504.215,6.125120931920655,9.878385875040115,-2.5,0.9945616706547749,-0.9951754956881268,1.0
2021-09-01 01:00:00,3,9,35,2,1,0,457.1,458.1,455.3,455.8,18787.502,6.122054116811584,9.840947140514983,-1.3999999999999773,0.9969378827646544,-0.2658304156636548,1.0
2021-09-01 01:15:00,3,9,35,2,1,15,455.7,458.0,455.1,457.7,12105.054,6.126213947659596,9.401378330328752,1.8999999999999773,1.0041684949539271,-0.8263118288506301,1.0
2021-09-01 01:30:00,3,9,35,2,1,30,457.7,458.9,456.4,458.8,12914.349,6.128614385255216,9.466094297755426,1.1000000000000227,1.002403320952589,0.12712763380828865,1.0
2021-09-01 01:45:00,3,9,35,2,1,45,458.9,461.1,458.6,459.8,13125.639,6.130791612329081,9.482322771988999,1.0,1.0021795989537925,0.9033309516082423,1.0
2021-09-01 02:00:00,3,9,35,2,2,0,459.8,460.8,458.6,459.4,8749.408,6.129921290254998,9.076741319919956,-0.4000000000000341,0.9991300565463244,0.6649841353202905,1.0
2021-09-01 02:15:00,3,9,35,2,2,15,459.5,461.6,458.3,461.5,9784.01,6.134482053942907,9.188504699443346,2.1000000000000227,1.0045711797997388,0.30897972445887717,1.0
2021-09-01 02:30:00,3,9,35,2,2,30,461.5,462.5,460.8,461.7,9087.621,6.1349153295129435,9.114668436746253,0.19999999999998863,1.0004333694474539,0.11387253386059122,1.0
2021-09-01 02:45:00,3,9,35,2,2,45,461.8,462.0,459.9,460.7,6398.684,6.132747071941871,8.763847623204045,-1.0,0.9978340914013428,0.8975231182460318,1.0
2021-09-01 03:00:00,3,9,35,2,3,0,460.7,461.0,458.7,460.9,7294.055,6.133181099726462,8.894814911784398,0.19999999999998863,1.0004341219882786,0.7920257117921919,1.0
2021-09-01 03:15:00,3,9,35,2,3,15,461.0,461.8,458.9,459.8,7110.565,6.130791612329081,8.869336985181558,-1.099999999999966,0.9976133651551313,0.9033309516082423,1.0
2021-09-01 03:30:00,3,9,35,2,3,30,459.7,460.9,458.3,460.4,5977.873,6.132095676847728,8.695820098054815,0.5999999999999659,1.0013049151805131,0.9877513633311394,1.0
2021-09-01 03:45:00,3,9,35,2,3,45,460.5,463.5,460.4,463.2,14765.882,6.138158926258786,9.600074528255742,2.8000000000000114,1.006081668114683,-0.9829516242991845,1.0
2021-09-01 04:00:00,3,9,35,2,4,0,463.2,464.9,462.2,464.7,11008.317,6.141392036090933,9.306406356996865,1.5,1.003238341968912,-0.25293502841588633,1.0
2021-09-01 04:15:00,3,9,35,2,4,15,464.7,465.0,463.3,463.8,10628.967,6.139453424821431,9.271338288815242,-0.8999999999999773,0.9980632666236282,-0.9150826124311126,1.0
2021-09-01 04:30:00,3,9,35,2,4,30,463.7,464.7,462.9,464.2,9719.658,6.140315493840337,9.181905711650286,0.39999999999997726,1.0008624407072013,-0.6858075564710425,1.0
2021-09-01 04:45:00,3,9,35,2,4,45,464.2,465.5,463.8,465.4,8207.228,6.142897250868192,9.012770508406245,1.1999999999999886,1.002585092632486,0.42981445215872083,1.0
2021-09-01 05:00:00,3,9,35,2,5,0,465.4,467.2,464.5,467.1,17951.931,6.1465433675080625,9.79545296473215,1.7000000000000455,1.0036527718091965,0.8400120248687637,1.0
2021-09-01 05:15:00,3,9,35,2,5,15,467.1,467.7,465.0,465.9,16814.563,6.143971018822751,9.730000635136093,-1.2000000000000455,0.9974309569685291,0.8100792506852279,1.0
2021-09-01 05:30:00,3,9,35,2,5,30,466.0,469.0,464.4,468.7,15128.716,6.14996290492866,9.624349938673605,2.8000000000000114,1.0060098733633827,-0.5668643826120308,1.0
2021-09-01 05:45:00,3,9,35,2,5,45,468.7,470.3,467.8,469.7,21355.22,6.15209419303295,9.969051485259495,1.0,1.002133560913164,-0.999491292737304,1.0
2021-09-01 06:00:00,3,9,35,2,6,0,469.7,470.2,468.3,469.2,11141.458,6.151029116779321,9.31842838463002,-0.5,0.9989354907387694,-0.892426390045455,1.0
2021-09-01 06:15:00,3,9,35,2,6,15,469.1,470.0,466.8,467.1,20452.364,6.1465433675080625,9.9258537538119,-2.099999999999966,0.9955242966751919,0.8400120248687637,1.0
2021-09-01 06:30:00,3,9,35,2,6,30,467.0,468.0,465.7,467.5,7004.165,6.147399348728742,8.854260251095134,0.39999999999997726,1.0008563476771568,0.5624164643393774,1.0
2021-09-01 06:45:00,3,9,35,2,6,45,467.5,469.0,467.4,467.8,10035.244,6.148040854150079,9.213858575832694,0.30000000000001137,1.0006417112299466,0.29294487274936903,1.0
2021-09-01 07:00:00,3,9,35,2,7,0,467.7,469.9,467.7,469.9,11451.912,6.15251990610877,9.345911981941189,2.099999999999966,1.0044890979050876,-0.9732318738915923,1.0
2021-09-01 07:15:00,3,9,35,2,7,15,469.8,470.2,468.3,469.0,13844.064,6.150602768446279,9.535611827685896,-0.8999999999999773,0.9980846988721005,-0.7849990633729202,1.0
2021-09-01 07:30:00,3,9,35,2,7,30,468.9,469.0,466.9,467.5,8683.173,6.147399348728742,9.06914229385157,-1.5,0.9968017057569296,0.5624164643393774,1.0
2021-09-01 07:45:00,3,9,35,2,7,45,467.5,469.0,466.2,468.4,8525.375,6.149322631723562,9.050802289454056,0.8999999999999773,1.0019251336898396,-0.29809339481693947,1.0
2021-09-01 08:00:00,3,9,35,2,8,0,468.5,471.1,468.1,470.1,14060.413,6.152945438030085,9.551118539044198,1.7000000000000455,1.0036293766011957,-0.9081727714445801,1.0
2021-09-01 08:15:00,3,9,35,2,8,15,470.1,471.2,468.7,468.9,9144.303,6.15038952609554,9.120886341408585,-1.2000000000000455,0.9974473516273132,-0.7192308407193728,1.0
2021-09-01 08:30:00,3,9,35,2,8,30,468.9,470.2,467.7,467.9,9231.68,6.148254597872171,9.130396326102078,-1.0,0.9978673491149499,0.19602771050727663,1.0
2021-09-01 08:45:00,3,9,35,2,8,45,467.8,470.1,467.6,469.6,9464.63,6.151881268513887,9.155316971490006,1.7000000000000455,1.0036332549690106,-0.9976819745278617,1.0
2021-09-01 09:00:00,3,9,35,2,9,0,469.6,471.4,469.3,470.6,11043.809,6.154008476293262,9.309625278441965,1.0,1.002129471890971,-0.5963112002789674,1.0
2021-09-01 09:15:00,3,9,35,2,9,15,470.6,474.2,470.5,474.1,25631.802,6.161418269908073,10.151589125119148,3.5,1.0074373140671484,0.27682719754651713,1.0
2021-09-01 09:30:00,3,9,35,2,9,30,474.2,475.5,472.8,474.5,23549.444,6.162261618049983,10.066857489824033,0.39999999999997726,1.0008437038599451,-0.11922502958289408,1.0
2021-09-01 09:45:00,3,9,35,2,9,45,474.6,475.0,472.8,473.9,13048.579,6.1609963289735425,9.476434517933125,-0.6000000000000227,0.9987355110642782,0.4622143612955291,1.0
2021-09-01 10:00:00,3,9,35,2,10,0,474.0,475.3,472.8,473.2,14988.778,6.159518132104232,9.615057066759615,-0.6999999999999886,0.9985228951255539,0.9247928178741194,1.0
2021-09-01 10:15:00,3,9,35,2,10,15,473.2,474.6,472.8,474.4,13946.758,6.162050847683516,9.543002358806422,1.1999999999999886,1.0025359256128488,-0.019508070381732884,1.0
2021-09-01 10:30:00,3,9,35,2,10,30,474.4,474.8,473.4,473.9,14101.427,6.1609963289735425,9.55403127691907,-0.5,0.9989460370994941,0.4622143612955291,1.0
2021-09-01 10:45:00,3,9,35,2,10,45,473.9,474.0,471.6,472.7,13931.673,6.158460937799191,9.541920160064876,-1.1999999999999886,0.9974678202152353,0.9939896035941738,1.0
2021-09-01 11:00:00,3,9,35,2,11,0,472.7,475.4,472.5,475.2,16840.118,6.1637357680484355,9.731519294897659,2.5,1.005288766659615,-0.7308109811894071,1.0
2021-09-01 11:15:00,3,9,35,2,11,15,475.1,476.9,473.9,474.6,23951.003,6.162472344001663,10.083765480876568,-0.5999999999999659,0.9987373737373738,-0.21775073169901749,1.0
2021-09-01 11:30:00,3,9,35,2,11,30,474.7,476.7,474.2,476.0,14604.042,6.16541785423142,9.589053618695797,1.3999999999999773,1.0029498525073746,-0.9988137573367454,1.0
2021-09-01 11:45:00,3,9,35,2,11,45,476.0,481.7,475.9,481.5,43432.814,6.17690623123818,10.678970517351084,5.5,1.0115546218487395,-0.7421845014927595,1.0
2021-09-01 12:00:00,3,9,35,2,12,0,481.5,481.9,478.8,480.6,27822.222,6.175035323302368,10.23359033288464,-0.8999999999999773,0.9981308411214954,0.06363297749445203,1.0
2021-09-01 12:15:00,3,9,35,2,12,15,480.6,484.3,480.6,483.8,26414.67,6.181671598175927,10.181674816618619,3.1999999999999886,1.0066583437369954,-0.005268628453020005,1.0
2021-09-01 12:30:00,3,9,35,2,12,30,483.9,484.6,481.5,482.2,24814.662,6.178358965747071,10.119189967134902,-1.6000000000000227,0.996692848284415,-0.999405888206387,1.0
2021-09-01 12:45:00,3,9,35,2,12,45,482.1,483.0,480.8,481.0,10432.652,6.175867270105761,9.25269578221339,-1.1999999999999886,0.9975114060555786,-0.33001928131531005,1.0
2021-09-01 13:00:00,3,9,35,2,13,0,481.0,482.9,478.6,479.0,17889.719,6.171700597410915,9.791981469280469,-2.0,0.9958419958419958,0.9956897831154927,1.0
2021-09-01 13:15:00,3,9,35,2,13,15,479.0,480.4,477.1,478.4,25580.939,6.170447202636422,10.149602782825008,-0.6000000000000227,0.9987473903966596,0.7694098011658514,1.0
2021-09-01 13:30:00,3,9,35,2,13,30,478.4,481.8,478.3,479.9,10406.153,6.1735777488642,9.25015254479809,1.5,1.0031354515050168,0.6915812810508115,1.0
2021-09-01 13:45:00,3,9,35,2,13,45,479.8,481.6,478.7,479.1,10072.073,6.171909343889077,9.217521823513644,-0.7999999999999545,0.9983329860387582,0.9999746505748434,1.0
2021-09-01 14:00:00,3,9,35,2,14,0,479.2,479.9,477.2,478.2,14468.554,6.170029055024225,9.579732883740606,-0.9000000000000341,0.9981214777708202,0.6271717078664221,1.0
2021-09-01 14:15:00,3,9,35,2,14,15,478.2,481.0,478.1,480.7,11537.672,6.175243374899915,9.353372786608979,2.5,1.0052279381012128,-0.03631601344083894,1.0
2021-09-01 14:30:00,3,9,35,2,14,30,480.7,482.0,478.5,479.1,13137.089,6.171909343889077,9.483194730204875,-1.599999999999966,0.9966715206989807,0.9999746505748434,1.0
2021-09-01 14:45:00,3,9,35,2,14,45,479.1,479.3,477.5,477.8,13608.173,6.169192234891709,9.518425847104822,-1.3000000000000114,0.997286579002296,0.27435283961004486,1.0
2021-09-01 15:00:00,3,9,35,2,15,0,477.8,479.2,477.7,477.9,8863.548,6.169401505584112,9.089702414907105,0.0999999999999659,1.0002092925910422,0.36898493642684954,1.0
2021-09-01 15:15:00,3,9,35,2,15,15,477.9,479.2,477.9,478.5,8817.35,6.170656210893009,9.084476650340898,0.6000000000000227,1.0012554927809165,0.829335098517182,1.0
2021-09-01 15:30:00,3,9,35,2,15,30,478.5,479.5,477.6,478.1,7965.844,6.169819915632058,8.982918180321114,-0.39999999999997726,0.9991640543364682,0.5462801079289165,1.0
2021-09-01 15:45:00,3,9,35,2,15,45,478.1,479.7,478.0,479.4,10552.858,6.172535322000284,9.264152002691239,1.2999999999999545,1.0027190964233423,0.9532080890039025,1.0
2021-09-01 16:00:00,3,9,35,2,16,0,479.5,481.3,478.9,479.2,14370.577,6.1721180468012395,9.572938131363685,-0.19999999999998863,0.9995828118481436,0.9942681018733237,1.0
2021-09-01 16:15:00,3,9,35,2,16,15,479.3,480.6,478.1,479.3,11272.641,6.1723267061655855,9.330133918533711,0.10000000000002274,1.0002086811352253,0.9786271549592188,1.0
2021-09-01 16:30:00,3,9,35,2,16,30,479.3,484.5,479.0,484.1,27858.752,6.182291496945648,10.234902450924853,4.800000000000011,1.0100146046317546,0.29048279203325506,1.0
2021-09-01 16:45:00,3,9,35,2,16,45,484.1,485.6,481.7,484.9,35659.986,6.183942684111306,10.481784498820307,0.7999999999999545,1.0016525511258003,0.8888051612784686,1.0
2021-09-01 17:00:00,3,9,35,2,17,0,485.0,486.6,482.6,486.6,20253.765,6.187442430349423,9.916095981178529,1.7000000000000455,1.0035058775005157,0.33994772018154606,1.0
2021-09-01 17:15:00,3,9,35,2,17,15,486.5,489.6,486.0,488.7,35799.548,6.191748804276109,10.485690546610764,2.099999999999966,1.004315659679408,-0.9834216412273015,1.0
2021-09-01 17:30:00,3,9,35,2,17,30,488.8,489.3,485.7,486.3,17945.123,6.18682571740974,9.795073657835175,-2.3999999999999773,0.9950890116635973,0.6026847657658586,1.0
2021-09-01 17:45:00,3,9,35,2,17,45,486.3,488.5,483.5,484.3,19280.836,6.182704549409183,9.866866928220327,-2.0,0.9958873123586264,0.47479522804866753,1.0
2021-09-01 18:00:00,3,9,35,2,18,0,484.4,487.3,484.4,487.2,11544.465,6.1886747163956874,9.353961380307743,2.8999999999999773,1.0059880239520957,-0.25044385482453163,1.0
2021-09-01 18:15:00,3,9,35,2,18,15,487.1,488.0,485.7,487.3,11574.702,6.18887994984946,9.356577133482634,0.10000000000002274,1.0002052545155995,-0.3458445167095496,1.0
2021-09-01 18:30:00,3,9,35,2,18,30,487.3,487.4,485.2,486.3,8577.944,6.18682571740974,9.056949536727235,-1.0,0.9979478760517135,0.6026847657658586,1.0
2021-09-01 18:45:00,3,9,35,2,18,45,486.3,486.9,484.7,484.9,10461.536,6.183942684111306,9.255460571962507,-1.400000000000034,0.9971211186510384,0.8888051612784686,1.0
2021-09-01 19:00:00,3,9,35,2,19,0,485.0,485.3,483.7,484.3,10174.374,6.182704549409183,9.227627485076633,-0.5999999999999659,0.9987626314704063,0.47479522804866753,1.0
2021-09-01 19:15:00,3,9,35,2,19,15,484.4,485.5,484.4,485.2,8708.076,6.184561177069895,9.072006149923151,0.8999999999999773,1.0018583522609952,0.9845405588919297,1.0
2021-09-01 19:30:00,3,9,35,2,19,30,485.2,485.3,482.3,484.2,15740.174,6.182498044503958,9.663971576548157,-1.0,0.9979389942291839,0.38456020928718154,1.0
2021-09-01 19:45:00,3,9,35,2,19,45,484.3,485.4,483.8,484.4,8436.427,6.182911011678937,9.040314156723579,0.19999999999998863,1.000413052457662,0.5602862498378779,1.0
2021-09-01 20:00:00,3,9,35,2,20,0,484.3,485.4,483.7,484.7,7381.825,6.18353014285133,8.906776176996292,0.30000000000001137,1.0006193228736582,0.7800410056177363,1.0
2021-09-01 20:15:00,3,9,35,2,20,15,484.8,485.9,483.9,485.9,6968.316,6.186002841411857,8.849128867676267,1.1999999999999886,1.002475758200949,0.8658572324416408,1.0
2021-09-01 20:30:00,3,9,35,2,20,30,485.9,485.9,484.4,485.1,5480.226,6.184355055251171,8.608901619967591,-0.7999999999999545,0.9983535706935585,0.9621354599459263,1.0
2021-09-01 20:45:00,3,9,35,2,20,45,485.1,485.4,483.4,484.6,5198.485,6.183323808382426,8.556122515966136,-0.5,0.9989692846835704,0.7136754456930845,1.0
